INDEX  ROW  COLUMN R   G   B
3166   25   94     179 180 176
3237   26   37     185 183 181
3238   26   38     175 171 169
3239   26   39     144 136 127
3240   26   40     111 97  80
3255   26   55     102 49  28
3256   26   56     109 60  36
3257   26   57     113 61  39
3258   26   58     104 56  34
3259   26   59     98  52  30
3260   26   60     93  47  25
3261   26   61     91  49  28
3262   26   62     93  49  27
3263   26   63     92  52  29
3264   26   64     93  48  28
3265   26   65     93  45  28
3266   26   66     92  47  25
3267   26   67     92  52  27
3268   26   68     105 61  34
3269   26   69     111 72  47
3270   26   70     120 77  50
3271   26   71     116 72  50
3272   26   72     104 67  43
3273   26   73     94  60  39
3274   26   74     91  61  41
3275   26   75     96  67  50
3276   26   76     102 77  60
3277   26   77     107 88  71
3278   26   78     115 98  82
3279   26   79     121 112 93
3280   26   80     131 119 106
3281   26   81     139 133 116
3282   26   82     145 133 126
3283   26   83     146 141 127
3284   26   84     146 137 130
3285   26   85     151 143 134
3286   26   86     149 144 130
3287   26   87     145 135 120
3288   26   88     127 116 105
3289   26   89     113 98  83
3290   26   90     98  85  76
3291   26   91     103 98  88
3292   26   92     128 121 117
3293   26   93     156 153 151
3317   26   117    167 163 162
3367   27   39     151 144 141
3368   27   40     123 112 99
3369   27   41     94  76  57
3377   27   49     91  62  31
3378   27   50     95  58  35
3379   27   51     94  60  34
3380   27   52     99  53  35
3381   27   53     98  53  33
3382   27   54     106 52  26
3383   27   55     109 55  34
3384   27   56     120 59  39
3385   27   57     115 62  40
3386   27   58     107 56  36
3387   27   59     97  50  27
3389   27   61     96  51  28
3390   27   62     97  54  29
3391   27   63     101 52  32
3392   27   64     97  51  30
3393   27   65     99  48  28
3394   27   66     96  51  26
3395   27   67     100 52  28
3396   27   68     109 61  35
3397   27   69     116 67  42
3398   27   70     119 70  41
3399   27   71     109 60  37
3400   27   72     91  52  26
3407   27   79     96  79  61
3408   27   80     101 87  70
3409   27   81     110 98  79
3410   27   82     113 102 87
3411   27   83     116 110 93
3412   27   84     121 108 91
3413   27   85     124 113 98
3414   27   86     120 112 95
3415   27   87     116 104 85
3416   27   88     98  88  73
3420   27   92     113 99  102
3421   27   93     143 141 138
3422   27   94     170 166 169
3424   27   96     185 181 180
3443   27   115    179 182 183
3447   27   119    154 151 152
3487   28   31     179 180 182
3489   28   33     162 159 160
3491   28   35     176 172 171
3494   28   38     181 173 176
3495   28   39     160 157 154
3496   28   40     140 132 123
3497   28   41     118 100 82
3498   28   42     104 84  59
3499   28   43     95  70  43
3500   28   44     91  69  41
3501   28   45     91  68  41
3502   28   46     98  73  43
3503   28   47     97  75  48
3504   28   48     100 77  49
3505   28   49     100 76  52
3506   28   50     102 73  53
3507   28   51     109 73  50
3508   28   52     114 68  47
3509   28   53     118 64  43
3510   28   54     116 59  38
3511   28   55     118 61  35
3512   28   56     119 60  41
3513   28   57     112 63  38
3514   28   58     105 57  33
3515   28   59     93  48  26
3516   28   60     95  46  26
3517   28   61     97  52  29
3518   28   62     100 55  32
3519   28   63     108 57  33
3520   28   64     102 57  34
3521   28   65     106 55  31
3522   28   66     102 53  33
3523   28   67     104 59  31
3524   28   68     113 61  37
3525   28   69     113 67  36
3526   28   70     112 65  36
3527   28   71     103 54  30
3539   28   83     92  77  60
3540   28   84     95  82  62
3541   28   85     98  86  65
3542   28   86     95  82  61
3543   28   87     92  79  59
3548   28   92     95  86  82
3549   28   93     126 119 116
3550   28   94     155 150 153
3551   28   95     173 169 168
3552   28   96     177 180 181
3553   28   97     183 179 178
3572   28   116    182 178 177
3576   28   120    171 172 168
3615   29   31     174 171 172
3616   29   32     149 153 151
3617   29   33     148 144 142
3618   29   34     150 153 148
3622   29   38     176 179 181
3623   29   39     170 172 166
3624   29   40     159 152 147
3625   29   41     141 132 121
3626   29   42     125 114 94
3627   29   43     109 96  76
3628   29   44     109 93  72
3629   29   45     109 92  73
3630   29   46     118 102 83
