INDEX  ROW  COLUMN R   G   B
1644   26   44     202 151 114
1645   26   45     197 160 128
1646   26   46     200 155 120
1647   26   47     211 141 89
1648   26   48     225 126 61
1649   26   49     229 127 52
1650   26   50     222 139 70
1651   26   51     208 157 96
1652   26   52     201 165 113
1653   26   53     196 164 122
1654   26   54     197 161 120
1655   26   55     197 155 117
1656   26   56     198 154 107
1657   26   57     200 156 99
1658   26   58     204 160 84
1659   26   59     208 156 67
1660   26   60     206 153 49
1661   26   61     203 150 46
1662   26   62     132 100 32
1675   27   11     134 132 126
1676   27   12     162 156 138
1677   27   13     179 164 120
1678   27   14     192 163 89
1679   27   15     196 156 56
1680   27   16     201 151 39
1681   27   17     205 144 39
1682   27   18     206 139 56
1683   27   19     204 140 70
1684   27   20     203 142 76
1685   27   21     200 143 70
1686   27   22     199 142 60
1687   27   23     199 141 47
1688   27   24     200 138 44
1689   27   25     197 140 54
1690   27   26     193 143 70
1691   27   27     186 145 91
1692   27   28     180 148 108
1693   27   29     178 150 125
1694   27   30     180 157 141
1695   27   31     182 168 155
1696   27   32     186 167 154
1697   27   33     191 161 134
1698   27   34     202 145 102
1699   27   35     212 124 75
1700   27   36     216 110 63
1701   27   37     215 109 66
1702   27   38     209 120 83
1703   27   39     206 132 98
1704   27   40     213 136 99
1705   27   41     218 132 90
1706   27   42     222 128 81
1707   27   43     217 137 87
1708   27   44     209 149 102
1709   27   45     203 161 108
1710   27   46     208 160 97
1711   27   47     218 150 74
1712   27   48     231 139 51
1713   27   49     234 139 44
1714   27   50     227 149 56
1715   27   51     215 161 79
1716   27   52     204 170 103
1717   27   53     197 169 121
1718   27   54     192 169 133
1719   27   55     190 170 136
1720   27   56     189 170 139
1721   27   57     189 171 135
1722   27   58     192 170 122
1723   27   59     198 164 96
1724   27   60     200 157 67
1725   27   61     202 151 50
1726   27   62     131 99  31
1739   28   11     133 131 125
1740   28   12     161 155 137
1741   28   13     176 163 120
1742   28   14     187 164 96
1743   28   15     192 160 73
1744   28   16     195 155 68
1745   28   17     198 151 72
1746   28   18     196 148 90
1747   28   19     194 150 103
1748   28   20     191 156 111
1749   28   21     190 159 111
1750   28   22     190 159 106
1751   28   23     191 160 100
1752   28   24     190 159 99
1753   28   25     192 158 101
1754   28   26     187 159 111
1755   28   27     183 160 124
1756   28   28     179 163 135
1757   28   29     178 165 148
1758   28   30     178 171 162
1759   28   31     181 174 167
1760   28   32     184 174 162
1761   28   33     188 169 143
1762   28   34     196 158 120
1763   28   35     200 147 105
1764   28   36     200 140 101
1765   28   37     201 137 105
1766   28   38     198 143 115
1767   28   39     201 147 120
1768   28   40     204 149 119
1769   28   41     213 146 109
1770   28   42     215 145 105
1771   28   43     211 151 105
1772   28   44     205 160 104
1773   28   45     203 166 99
1774   28   46     205 164 89
1775   28   47     212 162 77
1776   28   48     220 156 67
1777   28   49     224 157 65
1778   28   50     220 160 75
1779   28   51     211 167 91
1780   28   52     202 172 109
1781   28   53     194 175 129
1782   28   54     189 174 142
1783   28   55     183 178 148
1784   28   56     183 177 151
1785   28   57     182 177 147
1786   28   58     187 170 134
1787   28   59     191 161 109
1788   28   60     197 151 79
1789   28   61     197 148 61
1790   28   62     133 96  36
1803   29   11     133 131 125
1804   29   12     160 155 138
1805   29   13     173 161 126
1806   29   14     183 161 111
1807   29   15     186 159 102
1808   29   16     188 157 109
1809   29   17     185 160 117
1810   29   18     185 160 130
1811   29   19     183 164 139
1812   29   20     184 167 148
1813   29   21     185 170 149
1814   29   22     183 172 150
1815   29   23     184 172 149
1816   29   24     184 173 146
1817   29   25     184 172 143
1818   29   26     183 169 140
1819   29   27     180 170 137
1820   29   28     178 169 144
1821   29   29     178 174 154
1822   29   30     178 177 168
1824   29   32     182 180 168
1825   29   33     186 175 153
1826   29   34     190 171 140
1827   29   35     190 165 135
1828   29   36     189 163 134
1829   29   37     187 159 139
1830   29   38     187 161 143
1831   29   39     186 163 147
1832   29   40     190 165 148
1833   29   41     195 165 145
1834   29   42     196 163 144
1835   29   43     196 167 134
1836   29   44     196 168 118
1837   29   45     196 170 99
1838   29   46     199 170 84
1839   29   47     204 168 83
1840   29   48     209 167 86
1841   29   49     209 168 96
1842   29   50     208 171 102
1843   29   51     203 173 113
1844   29   52     197 177 126
1845   29   53     189 179 140
1846   29   54     184 179 149
1847   29   55     181 180 154
1848   29   56     180 179 153
1849   29   57     180 176 145
1850   29   58     182 170 131
1851   29   59     186 161 110
1852   29   60     190 152 95
1853   29   61     191 149 85
1854   29   62     128 100 55
1866   30   10     107 105 99
1867   30   11     133 131 125
1868   30   12     158 155 140
1869   30   13     172 161 134
1870   30   14     180 162 126
1871   30   15     182 161 121
1872   30   16     181 162 136
1873   30   17     181 166 145
1874   30   18     178 168 154
1875   30   19     178 170 158
1876   30   20     179 174 165
1877   30   21     179 178 169
1878   30   22     180 178 172
1880   30   24     180 179 170
1881   30   25     180 177 162
1882   30   26     181 173 149
1883   30   27     180 172 142
1884   30   28     180 172 142
1885   30   29     181 174 150
1886   30   30     180 176 165
1887   30   31     181 177 174
1888   30   32     181 179 173
1889   30   33     183 178 169
1890   30   34     184 176 164
1891   30   35     183 177 161
1892   30   36     183 173 161
1893   30   37     180 172 160
1894   30   38     180 172 160
1895   30   39     180 173 164
1896   30   40     181 174 167
1897   30   41     185 175 168
1898   30   42     185 175 166
1899   30   43     185 176 156
1900   30   44     185 177 132
1901   30   45     188 175 108
1902   30   46     189 175 93
1903   30   47     191 176 99
1904   30   48     192 175 116
1905   30   49     193 176 133
1906   30   50     191 176 144
1907   30   51     190 177 150
1908   30   52     187 179 155
1909   30   53     184 180 160
1911   30   55     181 179 156
1912   30   56     182 178 150
1913   30   57     181 174 137
1914   30   58     184 168 121
1915   30   59     184 162 112
1916   30   60     185 157 112
1917   30   61     186 158 114
1918   30   62     123 104 78
1932   31   12     158 157 148
1933   31   13     174 165 146
1934   31   14     181 166 145
1935   31   15     181 164 145
1936   31   16     181 168 152
1937   31   17     180 170 161
1938   31   18     180 172 160
1939   31   19     178 175 160
1940   31   20     182 174 162
1941   31   21     182 178 167
1942   31   22     183 177 172
1943   31   23     183 177 172
1944   31   24     184 176 164
1945   31   25     183 174 155
1946   31   26     182 171 144
1947   31   27     179 172 135
1948   31   28     179 172 135
1949   31   29     183 171 142
